artist,title,year,date,TV
Baby Keem,hooligan,2020,2020-09-18,48.16755343132832
Baby Keem,sons & critics freestyle,2020,2020-09-18,44.9131773802503
24kGoldn,Tick Tock (feat. 24kGoldn),2020,2020-08-21,36.03674540682419
24kGoldn,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",2020,2020-11-06,39.30135135135136
24kGoldn,Climb,2020,2020-11-13,45.78821952490878
Latto,On God,2020,2020-08-21,41.903855306996654
Latto,B*tch From Da Souf (Remix) (feat. Trina),2020,2020-08-21,54.534282018111256
Latto,Sex Lies (feat. Lil Baby),2020,2020-12-11,40.23431530690214
42 Dugg,4 Da Gang (with Roddy Ricch),2021,2021-05-21,37.331208588442514
42 Dugg,Bestfriends,2021,2021-05-21,58.64678626589046
42 Dugg,Maybach (feat. Future),2021,2021-05-21,65.45110306223248
Flo Milli,Clap For 'Em (feat. Flo Milli & Sada Baby),2021,2021-03-19,65.15865146256817
Flo Milli,Roaring 20s,2021,2021-01-15,55.20594843265219
Flo Milli,Ice Baby,2021,2021-10-29,52.970125915562505
Morray,Quicksand,2021,2021-04-28,49.90365837781542
Morray,Bad Situations,2021,2021-09-24,36.23157137720243
Morray,Switched Up,2021,2021-04-28,44.82350037027892
Pooh Shiesty,Back in Blood (feat. Lil Durk),2021,2021-02-05,45.171570443933895
Pooh Shiesty,"Switch it Up (feat. G Herbo, No More Heroes)",2021,2021-05-21,53.84874799763932
Pooh Shiesty,SUVs (Black on Black),2021,2021-08-03,47.66210588935158
Lakeyah,Too Much,2021,2021-04-09,42.11376041367423
Lakeyah,In Person (With OG Parker feat. Tyga),2021,2021-09-24,56.06943989518506
Lakeyah,Young and Ratchet,2021,2021-04-09,56.7138917942379
Coi Leray,TWINNEM,2021,2021-09-20,46.89104532612703
Coi Leray,Attachments (feat. Coi Leray),2021,2021-04-30,46.96098395373463
Coi Leray,2055 (feat. Coi Leray),2021,2021-07-28,57.55371093749999
Toosii,Never Leave Her (feat. Jacquees),2021,2021-12-03,40.6987417899818
Toosii,head over hills,2021,2021-07-16,43.92485768500951
Toosii,5'5 (feat. Latto),2021,2021-05-07,42.88610906712452
Blxst,Fck Boys,2021,2021-03-12,48.80389545530217
Blxst,Program,2021,2021-07-16,43.53510895883779
Blxst,About You,2021,2021-12-03,41.689210199005
DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,2021,2021-06-15,43.8481521830219
DDG,Hood Melody (feat. Youngboy Never Broke Again),2021,2021-06-15,38.213515912260696
DDG,Rule #1 (feat. Lil Yachty),2021,2021-06-15,40.0305058893314
Rubi Rose,Psycho (feat. Rubi Rose),2021,2021-07-23,45.40047873319832
Rubi Rose,Loyal Dick,2021,2021-12-10,34.217200034503584
Rubi Rose,TWORK,2021,2021-07-02,57.7249234303216
Iann Dior,Romance! - Iann Dior Remix,2021,2021-09-27,37.71209213051824
Nardo Wick,Krazy Krazy,2022,2022-04-29,47.74024968547373
Nardo Wick,Riot,2022,2022-06-10,49.269674495261626
Nardo Wick,Meet The Walkers 2 (With Nardo Wick),2022,2022-10-28,42.69058295964125
SoFaygo,Stay Awake,2022,2022-11-11,29.76814394396813
SoFaygo,Count Me Out,2022,2022-06-14,36.76117876731431
SoFaygo,Slip,2022,2022-11-11,42.46392037600222
Babyface Ray,Wonderful Wayne & Jackie Boy,2022,2022-12-02,45.886503376675726
Babyface Ray,Family > Money,2022,2022-05-20,47.8416029403047
Babyface Ray,Waves On Every Chain,2022,2022-12-02,44.53805648635711
